cve,rank
CVE-1999-0199,7.0
CVE-1999-0731,3068.0
CVE-2000-1254,379.0
CVE-2002-2443,1.0
CVE-2006-3635,1.0
CVE-2006-5331,1.0
CVE-2007-6761,1.0
CVE-2007-6762,1.0
CVE-2008-4539,1.0
CVE-2008-7316,1.0
CVE-2009-0385,1.0
CVE-2009-1194,1.0
CVE-2009-3111,4.0
CVE-2009-3616,39.0
CVE-2009-3627,8.0
CVE-2009-5147,1.0
CVE-2010-0011,11.0
CVE-2010-1152,1287.0
CVE-2010-1155,2.0
CVE-2010-2060,1.0
CVE-2010-2958,8.0
CVE-2010-3055,31.0
CVE-2010-3429,360.0
CVE-2010-3696,74.0
CVE-2010-3697,1.0
CVE-2010-3844,886.0
CVE-2010-4159,2.0
CVE-2010-4250,45.0
CVE-2010-4254,17.0
CVE-2010-4329,36.0
CVE-2010-4481,18.0
CVE-2010-4648,55.0
CVE-2010-4650,692.0
CVE-2010-4704,26.0
CVE-2010-5313,2.0
CVE-2010-5328,117.0
CVE-2010-5329,38.0
CVE-2010-5331,389.0
CVE-2010-5332,1.0
CVE-2011-0006,1.0
CVE-2011-0480,2.0
CVE-2011-0530,327.0
CVE-2011-0716,1.0
CVE-2011-0766,54.0
CVE-2011-0986,24.0
CVE-2011-0987,1.0
CVE-2011-0989,832.0
CVE-2011-0990,1424.0
CVE-2011-0991,397.0
CVE-2011-0992,1479.0
CVE-2011-1019,1.0
CVE-2011-1021,1.0
CVE-2011-1023,24.0
CVE-2011-1078,1.0
CVE-2011-1079,6.0
CVE-2011-1080,4.0
CVE-2011-1160,86.0
CVE-2011-1180,1.0
CVE-2011-1182,1.0
CVE-2011-1476,2.0
CVE-2011-1477,645.0
CVE-2011-1479,10.0
CVE-2011-1488,584.0
CVE-2011-1489,1.0
CVE-2011-1490,1.0
CVE-2011-1493,1.0
CVE-2011-1575,22.0
CVE-2011-1585,2.0
CVE-2011-1759,1.0
CVE-2011-1767,2.0
CVE-2011-1768,2618.0
CVE-2011-1833,1.0
CVE-2011-1927,6.0
CVE-2011-1931,508.0
CVE-2011-1940,121.0
CVE-2011-1941,145.0
CVE-2011-2161,3.0
CVE-2011-2182,1.0
CVE-2011-2183,2.0
CVE-2011-2208,1.0
CVE-2011-2209,1.0
CVE-2011-2210,17.0
CVE-2011-2211,1.0
CVE-2011-2479,3.0
CVE-2011-2482,152.0
CVE-2011-2486,32.0
CVE-2011-2491,15.0
CVE-2011-2493,1.0
CVE-2011-2494,2.0
CVE-2011-2495,48.0
CVE-2011-2496,1.0
CVE-2011-2505,4.0
CVE-2011-2506,30.0
CVE-2011-2507,58.0
CVE-2011-2508,45.0
CVE-2011-2517,1.0
CVE-2011-2518,5.0
CVE-2011-2521,143.0
CVE-2011-2642,1338.0
CVE-2011-2643,9.0
CVE-2011-2699,202.0
CVE-2011-2707,58.0
CVE-2011-2718,441.0
CVE-2011-2719,335.0
CVE-2011-2898,9.0
CVE-2011-2905,2.0
CVE-2011-2906,1.0
CVE-2011-2909,586.0
CVE-2011-2918,206.0
CVE-2011-3177,48.0
CVE-2011-3188,4759.0
CVE-2011-3191,1.0
CVE-2011-3209,78.0
CVE-2011-3346,352.0
