cve,rank
CVE-2006-5331,1.0
CVE-2009-5147,1.0
CVE-2010-3696,26.0
CVE-2010-4250,1.0
CVE-2010-4329,9.0
CVE-2011-0987,7.0
CVE-2011-1927,3.0
CVE-2011-2161,2.0
CVE-2011-2210,1.0
CVE-2011-2479,148.0
CVE-2011-2517,1.0
CVE-2011-3359,1.0
CVE-2011-3941,1.0
CVE-2011-4127,1548.5
CVE-2011-4579,2.0
CVE-2012-0807,39.0
CVE-2012-0853,1.0
CVE-2012-2121,3.0
CVE-2012-2133,14.0
CVE-2012-2383,1.0
CVE-2012-2777,1.0
CVE-2012-2779,1.0
CVE-2012-2786,1.0
CVE-2012-2787,1.0
CVE-2012-3501,20.0
CVE-2012-3520,1.0
CVE-2012-5374,23.0
CVE-2012-6084,99.0
CVE-2012-6617,1.0
CVE-2012-6701,2.0
CVE-2013-0853,1.0
CVE-2013-0894,1.0
CVE-2013-1819,3.0
CVE-2013-1957,1.0
CVE-2013-2017,1.0
CVE-2013-2277,2.0
CVE-2013-2496,5.0
CVE-2013-3223,1.0
CVE-2013-3227,1.0
CVE-2013-3233,1.0
CVE-2013-3301,5.0
CVE-2013-4125,1.0
CVE-2013-4129,1.0
CVE-2013-4150,1.0
CVE-2013-4248,21.0
CVE-2013-4299,11.0
CVE-2013-4531,1.0
CVE-2013-4535,4.0
CVE-2013-4540,1.0
CVE-2013-7267,10.0
CVE-2013-7459,202.0
CVE-2014-0182,30.0
CVE-2014-0214,2.0
CVE-2014-2064,11.0
CVE-2014-2066,3.0
CVE-2014-2067,3.0
CVE-2014-2739,4.0
CVE-2014-3547,10.0
CVE-2014-3617,120.0
CVE-2014-3980,3.0
CVE-2014-4348,86.0
CVE-2014-4656,1.0
CVE-2014-4987,27.0
CVE-2014-5045,1.0
CVE-2014-5164,4.0
CVE-2014-5165,1.0
CVE-2014-5353,1.0
CVE-2014-6395,1.0
CVE-2014-6427,3.0
CVE-2014-7284,1.0
CVE-2014-8176,19.0
CVE-2014-8369,1.0
CVE-2014-8546,1.0
CVE-2014-8961,1.0
CVE-2014-9428,3.0
CVE-2014-9621,1153.0
CVE-2014-9653,225.0
CVE-2014-9710,1.0
CVE-2014-9895,3.0
CVE-2015-0208,1.0
CVE-2015-0213,1.0
CVE-2015-0275,1.0
CVE-2015-0564,4.0
CVE-2015-0823,143.0
CVE-2015-1331,1.0
CVE-2015-1334,17.0
CVE-2015-1335,6.0
CVE-2015-1351,3.0
CVE-2015-1573,4.0
CVE-2015-1593,1.0
CVE-2015-1808,482.0
CVE-2015-2042,3.0
CVE-2015-3185,330.0
CVE-2015-3212,1.0
CVE-2015-3288,43.0
CVE-2015-3339,48.0
CVE-2015-3811,1.0
CVE-2015-3815,35.0
CVE-2015-4001,2.0
CVE-2015-4042,7.0
CVE-2015-4167,1.0
CVE-2015-4602,89.0
CVE-2015-5224,174.0
CVE-2015-5283,1.0
CVE-2015-5685,43.0
CVE-2015-6761,1.0
CVE-2015-7515,1.0
CVE-2015-7519,5.0
CVE-2015-7551,3.0
CVE-2015-7872,1.0
CVE-2015-7885,1.0
CVE-2015-8011,1.0
CVE-2015-8104,1.0
CVE-2015-8215,1.0
CVE-2015-8363,1.0
CVE-2015-8712,1.0
CVE-2015-8723,1.0
CVE-2015-8767,3.0
CVE-2015-8784,1.0
CVE-2015-8817,75.0
CVE-2015-8852,1.0
CVE-2015-8873,50.0
CVE-2015-8877,31.0
CVE-2015-8957,4652.5
CVE-2015-8966,16.0
CVE-2015-9016,6.0
CVE-2016-0701,1.0
CVE-2016-10030,40.0
CVE-2016-10156,1300.0
CVE-2016-10158,1.0
CVE-2016-10172,23.0
CVE-2016-10191,3.0
CVE-2016-10251,225.0
CVE-2016-10271,58.0
CVE-2016-1541,3.0
CVE-2016-2044,1.0
CVE-2016-2045,91.0
CVE-2016-2106,1.0
CVE-2016-2107,282.0
CVE-2016-2151,20.0
CVE-2016-2180,3.0
CVE-2016-2186,1.0
CVE-2016-2329,1.0
CVE-2016-2330,1.0
CVE-2016-2842,21.0
CVE-2016-2858,79.0
CVE-2016-3119,1.0
CVE-2016-3156,17.0
CVE-2016-3734,5.0
CVE-2016-4006,1.0
CVE-2016-4080,1.0
CVE-2016-4081,3.0
CVE-2016-4913,1.0
CVE-2016-4951,1.0
CVE-2016-4979,336.0
CVE-2016-5244,1.0
CVE-2016-5338,5.0
CVE-2016-5352,12.0
CVE-2016-5359,25.0
CVE-2016-5703,349.0
CVE-2016-5731,9.0
CVE-2016-5735,1.0
CVE-2016-5767,114.0
CVE-2016-6129,40.0
CVE-2016-6187,1.0
CVE-2016-6250,412.0
CVE-2016-6506,2.0
CVE-2016-6516,1.0
CVE-2016-6520,1.0
CVE-2016-7157,1.0
CVE-2016-7515,83.0
CVE-2016-7520,14.0
CVE-2016-7527,18.0
CVE-2016-7536,644.5
CVE-2016-7540,3.0
CVE-2016-7797,133.0
CVE-2016-7798,4.0
CVE-2016-7838,2.0
CVE-2016-7995,1.0
CVE-2016-8576,1.0
CVE-2016-8633,3.0
CVE-2016-8646,1.0
CVE-2016-8688,2.0
CVE-2016-8689,1.0
CVE-2016-8740,363.0
CVE-2016-9084,5.0
CVE-2016-9298,74.0
CVE-2016-9392,834.0
CVE-2016-9573,1577.0
CVE-2016-9888,1.0
CVE-2017-0375,5.0
CVE-2017-0376,1.0
CVE-2017-1000369,939.0
CVE-2017-1000494,61.0
CVE-2017-11147,7.0
CVE-2017-11176,1.0
CVE-2017-11408,8.0
CVE-2017-11664,82.0
CVE-2017-11721,659.0
CVE-2017-12640,9.0
CVE-2017-12665,8.0
CVE-2017-13146,155.0
