CVE,Patch_Commit,Alias/Evidence,Request,Confirmation,CNA,Update,Alias
CVE-2011-0007,,,,,,,
CVE-2024-27351,https://github.com/django/django/commit/3394fc6132436eca89e997083bae9985fb7e761e,,v,v,GitHub Advisory,,
CVE-2023-5969,https://github.com/mattermost/mattermost/commit/77f094c7ee8c7a00be01c2df72f948a62c690b66,,v,v,GitHub Advisory,,
CVE-2023-5968,https://github.com/mattermost/mattermost/commit/698f4a97da564e2c1f2bf1fbd01755cefa3b7881,,v,v,GitHub Advisory,,
CVE-2023-46575,https://github.com/meshery/meshery/commit/ffe00967acfe4444a5db08ff3a4cafb9adf6013f,,v,v,MITRE,,
CVE-2023-45885,https://github.com/nasa/openmct/commit/4e95e12559c9c5364269ff366a59768573baacb4,,v,v,GitHub Advisory,,
CVE-2023-45884,https://github.com/nasa/openmct/commit/4e95e12559c9c5364269ff366a59768573baacb4,,v,v,GitHub Advisory,,
CVE-2023-44765,https://github.com/concretecms/concretecms/commit/da516f7f0ee8782f0256d8db4e7d7d53d4a0963c,,v,v,GitHub Advisory,,
CVE-2023-44765,https://github.com/concretecms/concretecms/commit/0f0564232e0a49719d0bdff6223539b624f116ee,,v,v,GitHub Advisory,,
CVE-2023-44765,https://github.com/concretecms/concretecms/commit/92bcc208078571f4beda38cb0952f8e99887737a,,v,v,GitHub Advisory,,
CVE-2013-2294,,,,,,,
CVE-2013-2294,,,,,,,
CVE-2023-44761,https://github.com/concretecms/concretecms/commit/4990e68e8a4be2ee66e2d2bfcbfca38712614f76,,v,v,GitHub Advisory,,
CVE-2013-3250,,,,,,,
CVE-2013-3250,,,,,,,
CVE-2013-3250,,,,,,,
CVE-2013-3250,,,,,,,
CVE-2013-3250,,,,,,,
CVE-2023-43123,https://github.com/apache/storm/commit/b778125a17ce7497d80aea1e339f3a282aeeb65a,,v,v,GitHub Advisory,,
CVE-2013-4103,,,,,,,
CVE-2023-40989,https://github.com/jeecgboot/jeecg-boot/commit/473875a9d261780a3400cf6f8260ca441b768ed1,,v,v,GitHub Advisory,,
CVE-2023-40989,https://github.com/jeecgboot/jeecg-boot/commit/56e81fbf7bce11d2762b691f5d965b2265be608,,v,v,GitHub Advisory,,
CVE-2023-40989,https://github.com/jeecgboot/jeecg-boot/commit/87677df925e55e51233bf740433b30a751fc7705,,v,v,GitHub Advisory,,
CVE-2023-34234,https://github.com/OpenZeppelin/openzeppelin-contracts/commit/d9474327a492f9f310f31bc53f38dbea56ed9a57,,v,v,GitHub Advisory,,
CVE-2023-34234,https://github.com/apache/storm/commit/b778125a17ce7497d80aea1e339f3a282aeeb65a,,v,v,GitHub Advisory,,
CVE-2023-28819,https://github.com/concretecms/concretecms/pull/11749,,v,v,GitHub Advisory,,
CVE-2013-4114,,,,,,,
CVE-2013-4114,,,,,,,
CVE-2013-4114,,,,,,,
CVE-2013-4114,,,,,,,
CVE-2013-4114,,,,,,,
CVE-2013-4114,,,,,,,
CVE-2013-4295,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4334,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4335,,,,,,,
CVE-2013-4433,,,,,,,
CVE-2013-4433,,,,,,,
CVE-2023-28477,https://github.com/concretecms/concretecms/commit/546cef6ec29208d5c079113635cd6e6b250e9f7c,,v,v,MITRE,,
CVE-2013-5322,,,,,,,
CVE-2013-5322,,,,,,,
CVE-2013-6289,,,,,,,
CVE-2013-6289,,,,,,,
CVE-2013-6289,,,,,,,
CVE-2013-6289,,,,,,,
CVE-2013-6409,,,,,,,
CVE-2013-6409,,,,,,,
CVE-2013-7240,,,,,,,
CVE-2013-7240,,,,,,,
CVE-2023-28475,https://github.com/concretecms/concretecms/commit/861ba66d248165c9ee9d6d11a0457908b97d68f0,,v,v,GitHub Advisory,,
CVE-2023-28473,https://github.com/concretecms/concretecms/pull/11749,,v,v,GitHub Advisory,,
CVE-2023-28472,https://github.com/concretecms/concretecms/pull/11749,,v,v,GitHub Advisory,,
CVE-2023-23969,https://github.com/django/django/commit/9d7bd5a56b1ce0576e8e07a8001373576d277942,,v,v,GitHub Advisory,,
CVE-2023-23969,https://github.com/django/django/commit/4452642f193533e288a52c02efb5bbc766a68f95,,v,v,GitHub Advisory,,
CVE-2023-23969,https://github.com/django/django/commit/c7e0151fdf33e1b11d488b6f67b94fdf3a30614a,,v,v,GitHub Advisory,,
