cve,rank
CVE-1999-0199,623.0
CVE-1999-0731,5001.0
CVE-2000-1254,1.0
CVE-2002-2443,1.0
CVE-2006-3635,1.0
CVE-2006-5331,1.0
CVE-2007-6761,2.0
CVE-2007-6762,1.0
CVE-2008-4539,1.0
CVE-2008-7316,1.0
CVE-2009-0385,1.0
CVE-2009-1194,3.0
CVE-2009-3111,1.0
CVE-2009-3616,660.0
CVE-2009-3627,43.0
CVE-2009-5147,1.0
CVE-2010-0011,1.0
CVE-2010-1152,1299.0
CVE-2010-1155,1.0
CVE-2010-2060,5.0
CVE-2010-2958,37.0
CVE-2010-3055,1.0
CVE-2010-3429,148.0
CVE-2010-3696,26.0
CVE-2010-3697,3.0
CVE-2010-3844,2404.0
CVE-2010-4159,4.0
CVE-2010-4250,1.0
CVE-2010-4254,14.0
CVE-2010-4329,9.0
CVE-2010-4481,3.0
CVE-2010-4648,1.0
CVE-2010-4650,1.0
CVE-2010-4704,13.0
CVE-2010-5313,1.0
CVE-2010-5328,75.0
CVE-2010-5329,1.0
CVE-2010-5331,1.0
CVE-2010-5332,1.0
CVE-2011-0006,1.0
CVE-2011-0480,17.0
CVE-2011-0530,5.0
CVE-2011-0716,1.0
CVE-2011-0766,199.0
CVE-2011-0986,68.0
CVE-2011-0987,7.0
CVE-2011-0989,39.0
CVE-2011-0990,751.0
CVE-2011-0991,714.0
CVE-2011-0992,1799.0
CVE-2011-1019,1.0
CVE-2011-1021,1.0
CVE-2011-1023,1.0
CVE-2011-1078,1.0
CVE-2011-1079,1.0
CVE-2011-1080,1.0
CVE-2011-1160,1.0
CVE-2011-1180,1.0
CVE-2011-1182,3.0
CVE-2011-1476,1.0
CVE-2011-1477,1.0
CVE-2011-1479,2.0
CVE-2011-1488,1294.0
CVE-2011-1489,73.0
CVE-2011-1490,79.0
CVE-2011-1493,1.0
CVE-2011-1575,21.0
CVE-2011-1585,3.0
CVE-2011-1759,1.0
CVE-2011-1767,1.0
CVE-2011-1768,1829.0
CVE-2011-1833,1.0
CVE-2011-1927,3.0
CVE-2011-1931,11.0
CVE-2011-1940,9.0
CVE-2011-1941,287.0
CVE-2011-2161,2.0
CVE-2011-2182,1.0
CVE-2011-2183,1.0
CVE-2011-2208,1.0
CVE-2011-2209,1.0
CVE-2011-2210,1.0
CVE-2011-2211,1.0
CVE-2011-2479,148.0
CVE-2011-2482,10.0
CVE-2011-2486,6.0
CVE-2011-2491,2.0
CVE-2011-2493,6.0
CVE-2011-2494,1.0
CVE-2011-2495,1.0
CVE-2011-2496,1.0
CVE-2011-2505,1.0
CVE-2011-2506,3.0
CVE-2011-2507,1.0
CVE-2011-2508,2.0
CVE-2011-2517,1.0
CVE-2011-2518,1.0
CVE-2011-2521,39.0
CVE-2011-2642,261.0
CVE-2011-2643,2.0
CVE-2011-2699,20.0
CVE-2011-2707,1.0
CVE-2011-2718,21.0
CVE-2011-2719,1.0
CVE-2011-2898,1.0
CVE-2011-2905,1.0
CVE-2011-2906,1.0
CVE-2011-2909,1.0
CVE-2011-2918,92.0
CVE-2011-3177,262.0
CVE-2011-3188,2621.0
CVE-2011-3191,1.0
CVE-2011-3209,9.0
CVE-2011-3346,122.0
CVE-2011-3353,1.0
CVE-2011-3359,1.0
CVE-2011-3362,2.0
CVE-2011-3363,1.0
CVE-2011-3591,30.0
CVE-2011-3592,1.0
CVE-2011-3602,1.0
CVE-2011-3619,1.0
CVE-2011-3637,1.0
CVE-2011-3638,26.0
CVE-2011-3934,1.0
CVE-2011-3935,1.0
CVE-2011-3937,2.0
CVE-2011-3940,1.0
CVE-2011-3941,1.0
CVE-2011-3944,8.0
CVE-2011-3945,3.0
CVE-2011-3946,1.0
CVE-2011-3947,11.0
CVE-2011-3973,1.0
CVE-2011-3974,3.0
CVE-2011-4031,1.0
CVE-2011-4080,1.0
CVE-2011-4081,1.0
CVE-2011-4086,1.0
CVE-2011-4087,1.0
CVE-2011-4097,1.0
CVE-2011-4098,8.0
CVE-2011-4112,1.0
CVE-2011-4127,388.5
CVE-2011-4131,14.0
CVE-2011-4324,546.0
CVE-2011-4326,1.0
CVE-2011-4347,1.0
CVE-2011-4348,1.0
CVE-2011-4352,1.0
CVE-2011-4364,1845.0
CVE-2011-4579,2.0
CVE-2011-4594,6.0
CVE-2011-4604,1.0
CVE-2011-4611,1.0
CVE-2011-4621,134.0
CVE-2011-4634,40.0
CVE-2011-4718,1.0
CVE-2011-4780,46.0
CVE-2011-4782,1.0
CVE-2011-4913,1.0
CVE-2011-4914,2.0
CVE-2011-4966,2.0
CVE-2011-5321,1.0
CVE-2011-5327,1.0
CVE-2012-0028,1765.0
CVE-2012-0033,6.0
CVE-2012-0036,208.0
CVE-2012-0037,25.0
CVE-2012-0038,1.0
CVE-2012-0044,1.0
CVE-2012-0045,7.0
CVE-2012-0058,1.0
CVE-2012-0207,1.0
CVE-2012-0807,39.0
CVE-2012-0848,1.0
CVE-2012-0850,1.0
CVE-2012-0851,1.0
CVE-2012-0852,1.0
CVE-2012-0853,1.0
CVE-2012-0854,2.0
CVE-2012-0858,14.0
CVE-2012-0859,1.0
CVE-2012-0879,183.0
CVE-2012-0957,1.0
CVE-2012-1013,1.0
CVE-2012-1016,1.0
CVE-2012-1090,1.0
CVE-2012-1097,1.0
CVE-2012-1107,1.0
CVE-2012-1108,116.0
CVE-2012-1146,1.0
CVE-2012-1176,4.0
CVE-2012-1179,4.0
CVE-2012-1190,249.0
CVE-2012-1571,447.0
CVE-2012-1583,1.0
CVE-2012-1584,16.0
CVE-2012-1601,2.0
CVE-2012-1836,163.0
