cve,num_cases
CVE-2006-5331,5001
CVE-2009-5147,5001
CVE-2010-3696,5001
CVE-2010-4250,5001
CVE-2010-4329,5001
CVE-2011-0987,5001
CVE-2011-1927,5001
CVE-2011-2161,5001
CVE-2011-2210,5001
CVE-2011-2479,5001
CVE-2011-2517,5001
CVE-2011-3359,5001
CVE-2011-3941,5001
CVE-2011-4127,80008
CVE-2011-4579,5001
CVE-2012-0807,312
CVE-2012-0853,5001
CVE-2012-2121,5001
CVE-2012-2133,5001
CVE-2012-2383,5001
CVE-2012-2777,5001
CVE-2012-2779,5001
CVE-2012-2786,5001
CVE-2012-2787,5001
CVE-2012-3501,184
CVE-2012-3520,5001
CVE-2012-5374,5001
CVE-2012-6084,3796
CVE-2012-6617,5001
CVE-2012-6701,5001
CVE-2013-0853,5001
CVE-2013-0894,5001
CVE-2013-1819,5001
CVE-2013-1957,5001
CVE-2013-2017,5001
CVE-2013-2277,5001
CVE-2013-2496,5001
CVE-2013-3223,5001
CVE-2013-3227,5001
CVE-2013-3233,5001
CVE-2013-3301,5001
CVE-2013-4125,5001
CVE-2013-4129,5001
CVE-2013-4150,5001
CVE-2013-4248,5001
CVE-2013-4299,5001
CVE-2013-4531,5001
CVE-2013-4535,5001
CVE-2013-4540,5001
CVE-2013-7267,5001
CVE-2013-7459,957
CVE-2014-0182,5001
CVE-2014-0214,5001
CVE-2014-2064,5001
CVE-2014-2066,5001
CVE-2014-2067,5001
CVE-2014-2739,5001
CVE-2014-3547,5001
CVE-2014-3617,5001
CVE-2014-3980,107
CVE-2014-4348,5001
CVE-2014-4656,5001
CVE-2014-4987,5001
CVE-2014-5045,5001
CVE-2014-5164,5001
CVE-2014-5165,5001
CVE-2014-5353,5001
CVE-2014-6395,3100
CVE-2014-6427,5001
CVE-2014-7284,5001
CVE-2014-8176,5001
CVE-2014-8369,5001
CVE-2014-8546,5001
CVE-2014-8961,5001
CVE-2014-9428,5001
CVE-2014-9621,4344
CVE-2014-9653,4344
CVE-2014-9710,5001
CVE-2014-9895,5001
CVE-2015-0208,5001
CVE-2015-0213,5001
CVE-2015-0275,5001
CVE-2015-0564,5001
CVE-2015-0823,942
CVE-2015-1331,5001
CVE-2015-1334,5001
CVE-2015-1335,5001
CVE-2015-1351,5001
CVE-2015-1573,5001
CVE-2015-1593,5001
CVE-2015-1808,5001
CVE-2015-2042,5001
CVE-2015-3185,5001
CVE-2015-3212,5001
CVE-2015-3288,5001
CVE-2015-3339,5001
CVE-2015-3811,5001
CVE-2015-3815,5001
CVE-2015-4001,5001
CVE-2015-4042,5001
CVE-2015-4167,5001
CVE-2015-4602,5001
CVE-2015-5224,5001
CVE-2015-5283,5001
CVE-2015-5685,121
CVE-2015-6761,5001
CVE-2015-7515,5001
CVE-2015-7519,5001
CVE-2015-7551,5001
CVE-2015-7872,5001
CVE-2015-7885,5001
CVE-2015-8011,2183
CVE-2015-8104,5001
CVE-2015-8215,5001
CVE-2015-8363,5001
CVE-2015-8712,5001
CVE-2015-8723,5001
CVE-2015-8767,5001
CVE-2015-8784,2990
CVE-2015-8817,5001
CVE-2015-8852,2
CVE-2015-8873,5001
CVE-2015-8877,2491
CVE-2015-8957,80008
CVE-2015-8966,5001
CVE-2015-9016,5001
CVE-2016-0701,5001
CVE-2016-10030,5001
CVE-2016-10156,5001
CVE-2016-10158,5001
CVE-2016-10172,855
CVE-2016-10191,5001
CVE-2016-10251,1435
CVE-2016-10271,2990
CVE-2016-1541,5001
CVE-2016-2044,5001
CVE-2016-2045,5001
CVE-2016-2106,5001
CVE-2016-2107,5001
CVE-2016-2151,5001
CVE-2016-2180,5001
CVE-2016-2186,5001
CVE-2016-2329,5001
CVE-2016-2330,5001
CVE-2016-2842,5001
CVE-2016-2858,5001
CVE-2016-3119,5001
CVE-2016-3156,5001
CVE-2016-3734,5001
CVE-2016-4006,5001
CVE-2016-4080,5001
CVE-2016-4081,5001
CVE-2016-4913,5001
CVE-2016-4951,5001
CVE-2016-4979,5001
CVE-2016-5244,5001
CVE-2016-5338,5001
CVE-2016-5352,5001
CVE-2016-5359,5001
CVE-2016-5703,5001
CVE-2016-5731,5001
CVE-2016-5735,1185
CVE-2016-5767,5001
CVE-2016-6129,2155
CVE-2016-6187,5001
CVE-2016-6250,5001
CVE-2016-6506,5001
CVE-2016-6516,5001
CVE-2016-6520,5001
CVE-2016-7157,5001
CVE-2016-7515,5001
CVE-2016-7520,5001
CVE-2016-7527,5001
CVE-2016-7536,80008
CVE-2016-7540,5001
CVE-2016-7797,5001
CVE-2016-7798,1418
CVE-2016-7838,458
CVE-2016-7995,5001
CVE-2016-8576,5001
CVE-2016-8633,5001
CVE-2016-8646,5001
CVE-2016-8688,5001
CVE-2016-8689,5001
CVE-2016-8740,5001
CVE-2016-9084,5001
CVE-2016-9298,5001
CVE-2016-9392,1435
CVE-2016-9573,2992
CVE-2016-9888,1754
CVE-2017-0375,5001
CVE-2017-0376,5001
CVE-2017-1000369,5001
CVE-2017-1000494,2127
CVE-2017-11147,5001
CVE-2017-11176,5001
CVE-2017-11408,5001
CVE-2017-11664,1234
CVE-2017-11721,3421
CVE-2017-12640,5001
CVE-2017-12665,5001
CVE-2017-13146,5001
CVE-2017-13673,5001
CVE-2017-14166,5001
CVE-2017-14171,5001
CVE-2017-14172,5001
CVE-2017-14230,5001
CVE-2017-15102,5001
CVE-2017-15385,5001
CVE-2017-16525,5001
CVE-2017-16528,5001
CVE-2017-16534,5001
CVE-2017-16643,5001
CVE-2017-17439,5001
CVE-2017-18079,5001
CVE-2017-18255,5001
CVE-2017-18270,5001
CVE-2017-18922,2100
CVE-2017-2601,5001
CVE-2017-2608,5001
CVE-2017-2613,5001
CVE-2017-2630,5001
CVE-2017-3738,5001
CVE-2017-5226,551
CVE-2017-5509,5001
CVE-2017-5578,5001
CVE-2017-5970,5001
CVE-2017-6194,5001
CVE-2017-6214,5001
CVE-2017-6347,5001
CVE-2017-6348,5001
CVE-2017-6349,5001
CVE-2017-6429,3326
CVE-2017-6439,880
CVE-2017-6503,5001
CVE-2017-6886,2697
CVE-2017-6889,25
CVE-2017-7377,5001
CVE-2017-7472,5001
CVE-2017-7585,3098
CVE-2017-7741,3098
CVE-2017-7862,5001
CVE-2017-8069,5001
CVE-2017-8831,5001
CVE-2017-8890,5001
CVE-2017-9142,5001
CVE-2017-9201,520
CVE-2017-9207,520
CVE-2017-9330,5001
CVE-2017-9349,5001
CVE-2017-9438,2955
CVE-2018-0500,5001
CVE-2018-1000041,36
CVE-2018-1000127,1898
CVE-2018-1000193,5001
CVE-2018-10188,5001
CVE-2018-10756,5001
CVE-2018-10876,5001
CVE-2018-10887,5001
CVE-2018-11382,5001
CVE-2018-11594,5001
CVE-2018-12249,5001
CVE-2018-12320,5001
CVE-2018-13300,80008
CVE-2018-13301,5001
CVE-2018-13305,5001
CVE-2018-13785,4167
CVE-2018-14043,2277
CVE-2018-14361,5001
CVE-2018-15501,5001
CVE-2018-15572,5001
CVE-2018-15594,5001
CVE-2018-15853,2099
CVE-2018-15855,2099
CVE-2018-15862,2099
CVE-2018-16150,327
CVE-2018-16419,5001
CVE-2018-16421,5001
CVE-2018-17568,506
CVE-2018-18225,5001
CVE-2018-20174,2015
CVE-2018-20176,2015
CVE-2018-20177,2015
CVE-2018-20511,5001
CVE-2018-20748,2100
CVE-2018-20763,5001
CVE-2018-20784,5001
CVE-2018-5332,5001
CVE-2018-5334,5001
CVE-2018-6337,5001
CVE-2018-7335,5001
CVE-2018-7751,5001
CVE-2018-7998,5001
CVE-2018-8798,2015
CVE-2018-9273,5001
CVE-2018-9275,800
CVE-2018-9841,5001
