cve,num_cases
CVE-2006-5331,100
CVE-2009-5147,100
CVE-2010-3696,100
CVE-2010-4250,100
CVE-2010-4329,100
CVE-2011-0987,100
CVE-2011-1927,100
CVE-2011-2161,100
CVE-2011-2210,100
CVE-2011-2479,100
CVE-2011-2517,100
CVE-2011-3359,100
CVE-2011-3941,100
CVE-2011-4127,100
CVE-2011-4579,100
CVE-2012-0807,100
CVE-2012-0853,100
CVE-2012-2121,100
CVE-2012-2133,100
CVE-2012-2383,100
CVE-2012-2777,100
CVE-2012-2779,100
CVE-2012-2786,100
CVE-2012-2787,100
CVE-2012-3501,100
CVE-2012-3520,100
CVE-2012-5374,100
CVE-2012-6084,100
CVE-2012-6617,100
CVE-2012-6701,100
CVE-2013-0853,100
CVE-2013-0894,100
CVE-2013-1819,100
CVE-2013-1957,100
CVE-2013-2017,100
CVE-2013-2277,100
CVE-2013-2496,100
CVE-2013-3223,100
CVE-2013-3227,100
CVE-2013-3233,100
CVE-2013-3301,100
CVE-2013-4125,100
CVE-2013-4129,100
CVE-2013-4150,100
CVE-2013-4248,100
CVE-2013-4299,100
CVE-2013-4531,100
CVE-2013-4535,100
CVE-2013-4540,100
CVE-2013-7267,100
CVE-2013-7459,100
CVE-2014-0182,100
CVE-2014-0214,100
CVE-2014-2064,100
CVE-2014-2066,100
CVE-2014-2067,100
CVE-2014-2739,100
CVE-2014-3547,100
CVE-2014-3617,100
CVE-2014-3980,100
CVE-2014-4348,100
CVE-2014-4656,100
CVE-2014-4987,100
CVE-2014-5045,100
CVE-2014-5164,100
CVE-2014-5165,100
CVE-2014-5353,100
CVE-2014-6395,100
CVE-2014-6427,100
CVE-2014-7284,100
CVE-2014-8176,100
CVE-2014-8369,100
CVE-2014-8546,100
CVE-2014-8961,100
CVE-2014-9428,100
CVE-2014-9621,100
CVE-2014-9653,100
CVE-2014-9710,100
CVE-2014-9895,100
CVE-2015-0208,100
CVE-2015-0213,100
CVE-2015-0275,100
CVE-2015-0564,100
CVE-2015-0823,100
CVE-2015-1331,100
CVE-2015-1334,100
CVE-2015-1335,100
CVE-2015-1351,100
CVE-2015-1573,100
CVE-2015-1593,100
CVE-2015-1808,100
CVE-2015-2042,100
CVE-2015-3185,100
CVE-2015-3212,100
CVE-2015-3288,100
CVE-2015-3339,100
CVE-2015-3811,100
CVE-2015-3815,100
CVE-2015-4001,100
CVE-2015-4042,100
CVE-2015-4167,100
CVE-2015-4602,100
CVE-2015-5224,100
CVE-2015-5283,100
CVE-2015-5685,100
CVE-2015-6761,100
CVE-2015-7515,100
CVE-2015-7519,100
CVE-2015-7551,100
CVE-2015-7872,100
CVE-2015-7885,100
CVE-2015-8011,100
CVE-2015-8104,100
CVE-2015-8215,100
CVE-2015-8363,100
CVE-2015-8712,100
CVE-2015-8723,100
CVE-2015-8767,100
CVE-2015-8784,100
CVE-2015-8817,100
CVE-2015-8852,2
CVE-2015-8873,100
CVE-2015-8877,100
CVE-2015-8957,100
CVE-2015-8966,100
CVE-2015-9016,100
CVE-2016-0701,100
CVE-2016-10030,100
CVE-2016-10156,100
CVE-2016-10158,100
CVE-2016-10172,100
CVE-2016-10191,100
CVE-2016-10251,100
CVE-2016-10271,100
CVE-2016-1541,100
CVE-2016-2044,100
CVE-2016-2045,100
CVE-2016-2106,100
CVE-2016-2107,100
CVE-2016-2151,100
CVE-2016-2180,100
CVE-2016-2186,100
CVE-2016-2329,100
CVE-2016-2330,100
CVE-2016-2842,100
CVE-2016-2858,100
CVE-2016-3119,100
CVE-2016-3156,100
CVE-2016-3734,100
CVE-2016-4006,100
CVE-2016-4080,100
CVE-2016-4081,100
CVE-2016-4913,100
