cve,links,cwe,cne,cvss2score
CVE-2017-18221,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=70feee0e1ef331b22cc51f383d532a0d043fbdcc', 'https://github.com/torvalds/linux/commit/70feee0e1ef331b22cc51f383d532a0d043fbdcc']","('CWE-20', 'Improper Input Validation')",MITRE,4.9
CVE-2013-4587,['https://github.com/torvalds/linux/commit/338c7dbadd2671189cec7faf64c84d01071b3f96'],"('CWE-20', 'Improper Input Validation')","Red Hat, Inc.",7.2
CVE-2013-5029,"['https://github.com/phpmyadmin/phpmyadmin/commit/240b8332db53dedc27baeec5306dabad3bdece3b', 'https://github.com/phpmyadmin/phpmyadmin/commit/24d0eb55203b029f250c77d63f2900ffbe099e8b', 'https://github.com/phpmyadmin/phpmyadmin/commit/66fe475d4f51b1761719cb0cab360748800373f7', 'https://github.com/phpmyadmin/phpmyadmin/commit/da4042fb6c4365dc8187765c3bf525043687c66f']","('CWE-20', 'Improper Input Validation')",MITRE,4.3
CVE-2022-29264,['https://github.com/coreboot/coreboot/commit/afb7a814783cda12f5b72167163b9109ee1d15a7'],"('NVD-CWE-Other', 'Insufficient Information')",MITRE,7.5
CVE-2020-15214,['https://github.com/tensorflow/tensorflow/commit/204945b19e44b57906c9344c0d00120eeeae178a'],"('CWE-787', 'Out-of-bounds Write')","GitHub, Inc.",6.8
CVE-2022-29228,['https://github.com/envoyproxy/envoy/commit/7ffda4e809dec74449ebc330cebb9d2f4ab61360'],"('CWE-617', 'Reachable Assertion')","GitHub, Inc.",5.0
CVE-2017-13767,"['https://bugs.wireshark.org/bugzilla/show_bug.cgi?id=13933', 'https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=6f18ace2a2683418a9368a8dfd92da6bd8213e15']","('CWE-20', 'Improper Input Validation')",MITRE,7.8
CVE-2011-3363,"['http://www.openwall.com/lists/oss-security/2011/09/14/12', 'https://bugzilla.redhat.com/show_bug.cgi?id=738291', 'https://github.com/torvalds/linux/commit/70945643722ffeac779d2529a348f99567fa5c33']","('CWE-20', 'Improper Input Validation')","Red Hat, Inc.",6.1
CVE-2013-2232,"['https://github.com/torvalds/linux/commit/a963a37d384d71ad43b3e9e79d68d42fbe0901f3', 'https://www.kernel.org/pub/linux/kernel/v3.x/patch-3.10.bz2']","('CWE-20', 'Improper Input Validation')","Red Hat, Inc.",4.9
CVE-2014-0237,"['https://bugs.php.net/bug.php?id=67328', 'https://github.com/file/file/commit/b8acc83781d5a24cc5101e525d15efe0482c280d']","('CWE-399', 'Resource Management Errors')","Red Hat, Inc.",5.0
CVE-2016-6351,[],"('NVD-CWE-Other', 'Insufficient Information')","Red Hat, Inc.",7.2
