cve,owner,repo,commit_id
CVE-2006-5331,torvalds,linux,6c4841c2b6c32a134f9f36e5e08857138cc12b10
CVE-2009-5147,ruby,ruby,4600cf725a86ce31266153647ae5aa1197b1215b
CVE-2010-3696,alandekok,freeradius-server,4dc7800b866f889a1247685bbaa6dd4238a56279
CVE-2010-4250,torvalds,linux,a2ae4cc9a16e211c8a128ba10d22a85431f093ab
CVE-2011-1927,torvalds,linux,64f3b9e203bd06855072e295557dca1485a2ecba
CVE-2011-2161,FFmpeg,FFmpeg,8312e3fc9041027a33c8bc667bb99740fdf41dd5
CVE-2011-2210,torvalds,linux,21c5977a836e399fc710ff2c5367845ed5c2527f
CVE-2011-2479,torvalds,linux,78f11a255749d09025f54d4e2df4fbcb031530e2
CVE-2011-2517,torvalds,linux,208c72f4fe44fe09577e7975ba0e7fa0278f3d03
CVE-2011-3359,torvalds,linux,c85ce65ecac078ab1a1835c87c4a6319cf74660a
CVE-2011-4127,torvalds,linux,ec8013beddd717d1740cfefb1a9b900deef85462
CVE-2012-0807,stefanesser,suhosin,73b1968ee30f6d9d2dae497544b910e68e114bfa
CVE-2012-2121,torvalds,linux,09ca8e1173bcb12e2a449698c9ae3b86a8a10195
CVE-2012-2133,torvalds,linux,90481622d75715bfcb68501280a917dbfe516029
CVE-2012-2383,torvalds,linux,ed8cd3b2cd61004cab85380c52b1817aca1ca49b
CVE-2012-3501,darold,squidclamav,80f74451f628264d1d9a1f1c0bbcebc932ba5e00
CVE-2012-3520,torvalds,linux,e0e3cea46d31d23dc40df0a49a7a2c04fe8edfea
CVE-2012-5374,torvalds,linux,9c52057c698fb96f8f07e7a4bcf4801a092bda89
CVE-2012-6084,atheme,charybdis,ac0707aa61d9c20e9b09062294701567c9f41595
CVE-2012-6701,torvalds,linux,a70b52ec1aaeaf60f4739edb1b422827cb6f3893
CVE-2013-1819,torvalds,linux,eb178619f930fa2ba2348de332a1ff1c66a31424
CVE-2013-1957,torvalds,linux,132c94e31b8bca8ea921f9f96a57d684fa4ae0a9
CVE-2013-2017,torvalds,linux,6ec82562ffc6f297d0de36d65776cff8e5704867
CVE-2013-3223,torvalds,linux,ef3313e84acbf349caecae942ab3ab731471f1a1
CVE-2013-3227,torvalds,linux,2d6fbfe733f35c6b355c216644e08e149c61b271
CVE-2013-3233,torvalds,linux,d26d6504f23e803824e8ebd14e52d4fc0a0b09cb
CVE-2013-3301,torvalds,linux,6a76f8c0ab19f215af2a3442870eeb5f0e81998d
CVE-2013-4125,torvalds,linux,307f2fb95e9b96b3577916e73d92e104f8f26494
CVE-2013-4129,torvalds,linux,c7e8e8a8f7a70b343ca1e0f90a31e35ab2d16de1
CVE-2013-4299,torvalds,linux,e9c6a182649f4259db704ae15a91ac820e63b0ca
CVE-2013-7267,torvalds,linux,f3d3342602f8bcbf37d7c46641cb9bca7618eb1c
CVE-2013-7459,dlitz,pycrypto,8dbe0dc3eea5c689d4f76b37b93fe216cf1f00d4
CVE-2014-2739,torvalds,linux,b2853fd6c2d0f383dbdf7427e263eb576a633867
CVE-2014-3980,ueno,libfep,293d9d3f
CVE-2014-4656,torvalds,linux,ac902c112d90a89e59916f751c2745f4dbdbb4bd
CVE-2014-5045,torvalds,linux,295dc39d941dc2ae53d5c170365af4c9d5c16212
CVE-2014-5353,krb5,krb5,d1f707024f1d0af6e54a18885322d70fa15ec4d3
CVE-2014-6395,Ettercap,ettercap,e3abe7d7585ecc420a7cab73313216613aadad5a
CVE-2014-7284,torvalds,linux,3d4405226d27b3a215e4d03cfa51f536244e5de7
CVE-2014-8176,openssl,openssl,470990fee0182566d439ef7e82d1abf18b7085d7
CVE-2014-8369,torvalds,linux,3d32e4dbe71374a6780eaf51d719d76f9a9bf22f
CVE-2014-9428,torvalds,linux,5b6698b0e4a37053de35cc24ee695b98a7eb712b
CVE-2014-9621,file,file,65437cee25199dbd385fb35901bc0011e164276c
CVE-2014-9653,file,file,445c8fb0ebff85195be94cd9f7e1df89cade5c7f
CVE-2014-9710,torvalds,linux,5f5bc6b1e2d5a6f827bc860ef2dc5b6f365d1339
CVE-2014-9895,torvalds,linux,c88e739b1fad662240e99ecbd0bdaac871717987
CVE-2015-0275,torvalds,linux,0f2af21aae11972fa924374ddcf52e88347cf5a8
CVE-2015-0823,khaledhosny,ots,003c62d28ae438aa8943cb31535563397f838a2c
CVE-2015-1331,lxc,lxc,72cf81f6a3404e35028567db2c99a90406e9c6e6
CVE-2015-1334,lxc,lxc,5c3fcae78b63ac9dd56e36075903921bd9461f9e
CVE-2015-1335,lxc,lxc,592fd47a6245508b79fe6ac819fe6d3b2c1289be
CVE-2015-1573,torvalds,linux,a2f18db0c68fec96631c10cad9384c196e9008ac
CVE-2015-1593,torvalds,linux,4e7c22d447bb6d7e37bfe39ff658486ae78e8d77
CVE-2015-2042,torvalds,linux,db27ebb111e9f69efece08e4cb6a34ff980f8896
CVE-2015-3185,apache,httpd,db81019ab88734ed35fa70294a0cfa7a19743f73
CVE-2015-3212,torvalds,linux,2d45a02d0166caf2627fe91897c6ffc3b19514c4
CVE-2015-3288,torvalds,linux,6b7339f4c31ad69c8e9c0b2859276e22cf72176d
CVE-2015-3339,torvalds,linux,8b01fc86b9f425899f8a3a8fc1c47d73c2c20543
CVE-2015-4001,torvalds,linux,b1bb5b49373b61bf9d2c73a4d30058ba6f069e4c
CVE-2015-4042,pixelb,coreutils,bea5e36cc876ed627bb5e0eca36fdfaa6465e940
CVE-2015-4167,torvalds,linux,23b133bdc452aa441fcb9b82cbf6dd05cfd342d0
CVE-2015-5224,karelzak,util-linux,bde91c85bdc77975155058276f99d2e0f5eab5a9
CVE-2015-5283,torvalds,linux,8e2d61e0aed2b7c4ecb35844fe07e0b2b762dee4
CVE-2015-5685,bittorrent,bootstrap-dht,e809ea80e3527e32c40756eddd8b2ae44bc3af1a
CVE-2015-7515,torvalds,linux,8e20cf2bce122ce9262d6034ee5d5b76fbb92f96
CVE-2015-7519,phusion,passenger,ddb8ecc4ebf260e4967f57f271d4f5761abeac3e
CVE-2015-7551,ruby,ruby,339e11a7f178312d937b7c95dd3115ce7236597a
CVE-2015-7872,torvalds,linux,f05819df10d7b09f6d1eb6f8534a8f68e5a4fe61
CVE-2015-7885,torvalds,linux,4b6184336ebb5c8dc1eae7f7ab46ee608a748b05
CVE-2015-8011,vincentbernat,lldpd,dd4f16e7e816f2165fba76e3d162cd8d2978dcb2
CVE-2015-8104,torvalds,linux,cbdb967af3d54993f5814f1cee0ed311a055377d
CVE-2015-8215,torvalds,linux,77751427a1ff25b27d47a4c36b12c3c8667855ac
CVE-2015-8767,torvalds,linux,635682a14427d241bab7bbdeebb48a7d7b91638e
CVE-2015-8784,vadz,libtiff,b18012dae552f85dcc5c57d3bf4e997a15b1cc1c
CVE-2015-8852,varnish,Varnish-Cache,85e8468bec9416bd7e16b0d80cb820ecd2b330c3
CVE-2015-8877,libgd,libgd,4751b606fa38edc456d627140898a7ec679fcc24
CVE-2015-8957,ImageMagick,ImageMagick,bd96074b254c6607a0f7731e59f923ad19d5a46d
CVE-2015-8966,torvalds,linux,76cc404bfdc0d419c720de4daaf2584542734f42
CVE-2015-9016,torvalds,linux,0048b4837affd153897ed1222283492070027aa9
CVE-2016-10030,SchedMD,slurm,92362a92fffe60187df61f99ab11c249d44120ee
CVE-2016-10271,vadz,libtiff,9657bbe3cdce4aaa90e07d50c1c70ae52da0ba6a
CVE-2016-10156,systemd,systemd,ee735086f8670be1591fa9593e80dd60163a7a2f
CVE-2016-10158,php,php-src,1cda0d7c2ffb62d8331c64e703131d9cabdc03ea
CVE-2016-10172,dbry,WavPack,4bc05fc490b66ef2d45b1de26abf1455b486b0dc
CVE-2016-10191,FFmpeg,FFmpeg,7d57ca4d9a75562fa32e40766211de150f8b3ee7
CVE-2016-10251,mdadams,jasper,1f0dfe5a42911b6880a1445f13f6d615ddb55387
CVE-2016-1541,libarchive,libarchive,d0331e8e5b05b475f20b1f3101fe1ad772d7e7e7
CVE-2016-2180,openssl,openssl,0ed26acce328ec16a3aa635f1ca37365e8c7403a
CVE-2016-2186,torvalds,linux,9c6ba456711687b794dcf285856fc14e2c76074f
CVE-2016-3119,krb5,krb5,08c642c09c38a9c6454ab43a9b53b2a89b9eef99
CVE-2016-3156,torvalds,linux,fbd40ea0180a2d328c5adc61414dc8bab9335ce2
CVE-2016-4913,torvalds,linux,99d825822eade8d827a1817357cbf3f889a552d6
CVE-2016-4951,torvalds,linux,45e093ae2830cd1264677d47ff9a95a71f5d9f9c
CVE-2016-4979,apache,httpd,2d0e4eff04ea963128a41faaef21f987272e05a2
CVE-2016-5244,torvalds,linux,4116def2337991b39919f3b448326e21c40e0dbb
CVE-2016-5352,wireshark,wireshark,b6d838eebf4456192360654092e5587c5207f185
CVE-2016-5359,wireshark,wireshark,b8e0d416898bb975a02c1b55883342edc5b4c9c0
CVE-2016-5735,pornel,pngquant,b7c217680cda02dddced245d237ebe8c383be285
CVE-2016-5767,php,php-src,c395c6e5d7e8df37a21265ff76e48fe75ceb5ae6
CVE-2016-6129,libtom,libtomcrypt,5eb9743410ce4657e9d54fef26a2ee31a1b5dd0
CVE-2016-6187,torvalds,linux,30a46a4647fd1df9cf52e43bf467f0d9265096ca
CVE-2016-6250,libarchive,libarchive,3014e198
CVE-2016-6516,torvalds,linux,10eec60ce79187686e052092e5383c99b4420a20
CVE-2016-6520,ImageMagick,ImageMagick,76401e172ea3a55182be2b8e2aca4d07270f6da6
CVE-2016-7515,ImageMagick,ImageMagick,2ad6d33493750a28a5a655d319a8e0b16c392de1
CVE-2016-7520,ImageMagick,ImageMagick,14e606db148d6ebcaae20f1e1d6d71903ca4a556
CVE-2016-7527,ImageMagick,ImageMagick,b3dd69b23e9338806891c708a0cc8a82c0d1872a
CVE-2016-7536,ImageMagick,ImageMagick,478cce544fdf1de882d78381768458f397964453
CVE-2016-7540,ImageMagick,ImageMagick,a0108a892f9ea3c2bb1e7a49b7d71376c2ecbff7
CVE-2016-7797,ClusterLabs,pacemaker,5ec24a2642bd0854b884d1a9b51d12371373b410
CVE-2016-7798,ruby,openssl,8108e0a6db133f3375608303fdd2083eb5115062
CVE-2016-7838,vslavik,winsparkle,bb454857348245a7397f9e4fbb3a902f4ac25913
CVE-2016-8633,torvalds,linux,667121ace9dbafb368618dbabcf07901c962ddac
CVE-2016-8646,torvalds,linux,4afa5f9617927453ac04b24b584f6c718dfb4f45
