k,recall,manual_effort,MRR
1,0.0,1.0,0.7950665670050436
2,0.7923177083333334,1.2,0.7950665670050436
3,0.79296875,1.4,0.7950665670050436
4,0.795703125,1.5979166666666667,0.7950665670050436
5,0.7963541666666667,1.7958333333333334,0.7950665670050436
6,0.7990885416666667,1.9916666666666667,0.7950665670050436
7,0.7997395833333333,2.1875,0.7950665670050436
8,0.800390625,2.3833333333333333,0.7950665670050436
9,0.803125,2.5770833333333334,0.7950665670050436
10,0.803515625,2.7708333333333335,0.7950665670050436
20,0.80625,4.708333333333333,0.7950665670050436
30,0.80625,6.645833333333333,0.7950665670050436
50,0.80625,10.520833333333334,0.7950665670050436
100,0.80625,20.208333333333332,0.7950665670050436
