k,recall,manual_effort,MRR
1,0.0,1.0,0.13953489800148258
2,0.07941361452874611,1.8895833333333334,0.13953489800148258
3,0.12063278461304776,2.747916666666667,0.13953489800148258
4,0.1604630658084605,3.5708333333333333,0.13953489800148258
5,0.17876556922609552,4.38125,0.13953489800148258
6,0.19828335042150833,5.172916666666667,0.13953489800148258
7,0.20877335383914333,5.95625,0.13953489800148258
8,0.21822169059011168,6.729166666666667,0.13953489800148258
9,0.23466407496012756,7.4875,0.13953489800148258
10,0.2490231259968102,8.233333333333333,0.13953489800148258
20,0.31666666666666665,15.316666666666666,0.13953489800148258
30,0.3625,21.883333333333333,0.13953489800148258
50,0.41041666666666665,34.1125,0.13953489800148258
100,0.6247395833333333,59.76875,0.13953489800148258
